Date,Actual,RF,XGB
2011-01-02,0.7561,0.7648025398752392,0.7623749148392386
2011-01-09,0.7585,0.7572440731477701,0.7560682179297181
2011-01-16,0.7632,0.7586012196681252,0.7550297842924112
2011-01-23,0.7437,0.7643054971075545,0.765755112346929
2011-01-30,0.7324,0.7381324649663229,0.7324229903596803
2011-02-06,0.7309,0.7329354857582375,0.7283717631464753
2011-02-13,0.7351,0.7311374895499819,0.7321554163973152
2011-02-20,0.737,0.7369526409084253,0.7394112184144748
2011-02-27,0.7288,0.7400366141936225,0.7407276961087935
2011-03-06,0.7216,0.729226069878063,0.7268744262610625
2011-03-13,0.7187,0.7215521223036825,0.7260102222823818
2011-03-20,0.7142,0.718946333151909,0.7215697503336501
2011-03-27,0.7063,0.7118803925025682,0.7144128014161283
2011-04-03,0.7076,0.703227409847053,0.7029820381098123
2011-04-10,0.6991,0.7058316810424776,0.7028174232514416
2011-04-17,0.6916,0.6965044097904217,0.694842193963741
2011-04-24,0.6919,0.6889051899025298,0.6877205015989514
2011-05-01,0.6803,0.6947515903531809,0.6962391988658959
2011-05-08,0.6805,0.676015707932081,0.6777485628796232
2011-05-15,0.7004,0.6816379749038484,0.6797648921243974
2011-05-22,0.7044,0.7093108157829889,0.7149796854127081
2011-05-29,0.7067,0.713397969198003,0.7117680803454467
2011-06-05,0.6933,0.7074593407375654,0.7196662643955004
2011-06-12,0.6868,0.6911778605256377,0.7013725653769844
2011-06-19,0.6988,0.6843853949135342,0.6862413953444312
2011-06-26,0.7,0.7007967125367455,0.6978421995372284
2011-07-03,0.6958,0.6969552350318176,0.6981558715178344
2011-07-10,0.6943,0.6937920938200997,0.6956125921034496
2011-07-17,0.7075,0.6928639862990151,0.6941767904263788
2011-07-24,0.7028,0.7073034278027629,0.7089382866277323
2011-07-31,0.6949,0.7010144678522731,0.7027413785788472
2011-08-07,0.7004,0.6971483961133185,0.6957381570109517
2011-08-14,0.7012,0.703459496009305,0.7050258807832662
2011-08-21,0.6961,0.700118757086853,0.6983246042720144
2011-08-28,0.6934,0.6962909122715608,0.696645334492546
2011-09-04,0.6954,0.6898667541614261,0.6913270852658087
2011-09-11,0.7147,0.6884741253717089,0.6881438293141846
2011-09-18,0.7289,0.716526985897584,0.715905013655616
2011-09-25,0.7343,0.7338528903270932,0.7343613426170785
2011-10-02,0.7397,0.7336203012413679,0.7326533676654183
2011-10-09,0.7494,0.7402072381740464,0.7423302130340514
2011-10-16,0.7314,0.7476536636704522,0.7493454841300932
2011-10-23,0.724,0.7231657728393225,0.7134627045169685
2011-10-30,0.7146,0.7205881288635088,0.7215812559621108
2011-11-06,0.7217,0.7143915536308862,0.713982703504563
2011-11-13,0.7289,0.7257174152229551,0.7323905978096662
2011-11-20,0.7364,0.7345096425732766,0.7365890675793888
2011-11-27,0.7459,0.7420656152255461,0.7399516830454805
2011-12-04,0.7479,0.7496464770566229,0.7507098554819588
2011-12-11,0.7467,0.7493995043819017,0.7479548850303935
2011-12-18,0.7615,0.7465304373111616,0.747595814353044
2011-12-25,0.7661,0.7668592144105597,0.7693520149867192
